시도명,시군구명,읍면동명,어트랙션,어트랙션 목록
서울특별시,종로구,청운효자동,여행지,"경복궁, 광화문광장, 수성동계곡, 서촌마을, 광화문, 세종대왕동상"
서울특별시,종로구,청운효자동,볼거리/놀거리/명소,"대한민국역사박물관, 세종문화회관, 광화문광장, 국립고궁박물관, 윤동주문학관, 경복궁"
서울특별시,종로구,청운효자동,취미생활,"로라홈, 커스텀테라피, 가회민화박물관, 동림매듭공방, 꽃자리자수공방, 틈 틈틈이 하는 취미 생활"
서울특별시,종로구,청운효자동,맛집,"야끼니꾸소량 경복궁점, 서촌금상고로케, 잘빠진메밀 서촌 본점, 비스트로 친친, 라파리나, 더숲 초소책방, 스펙터, 서촌스코프"
서울특별시,종로구,청운효자동,카페,"서촌금상고로케, 파스텔커피웍스 서촌점, 더숲 초소책방, 스펙터, 서촌스코프, 아키비스트 서촌, 도틀, 효자베이커리"
서울특별시,종로구,청운효자동,아이와함께,"대한민국역사박물관, 국립고궁박물관, 윤동주문학관, 국립민속박물관 어린이박물관, 국립민속박물관, 청와대사랑채"
서울특별시,종로구,사직동,여행지,"돈의문박물관마을, 경희궁, 사직단, 세종마을음식문화거리, 홍건익가옥, 라바타운"
서울특별시,종로구,사직동,볼거리/놀거리/명소,"그라운드시소 서촌, 서울역사박물관, 통의동 보안여관, 홍건익가옥, 서울메트로미술관, 아트사이드 갤러리"
서울특별시,종로구,사직동,취미생활,"초록맘생활연구소, 로라홈, 커스텀테라피"
서울특별시,종로구,사직동,맛집,"펀치스낵, 서촌뜰애우곱창타운, 솔솥 서촌점, 토속촌 삼계탕, 뼈탄집, 스태픽스, 안주마을, 서촌계단집"
서울특별시,종로구,사직동,카페,"공유카페, 통인동커피공방 인스피레이션, 스태픽스, 빅토리아베이커리 서촌, 베란다, 쏘리에스프레소바, 파네트 광화문점, 궤도"
서울특별시,종로구,사직동,아이와함께,"서울역사박물관, 서울특별시교육청 어린이도서관, 돈의문역사관, 인표어린이도서관, 서대문형무소역사관, 대한민국역사박물관"
서울특별시,종로구,삼청동,여행지,"열린송현 녹지광장, 삼청공원, 한국사찰음식문화체험관, 숙정문, 삼청동문화거리, 안국동윤보선가"
서울특별시,종로구,삼청동,볼거리/놀거리/명소,"국립현대미술관 서울, 갤러리애프터눈, 갤러리현대, 뮤지엄한미 삼청, 국제갤러리, PKM 갤러리"
서울특별시,종로구,삼청동,취미생활,"가회민화박물관, 동림매듭공방, 꽃자리자수공방, 로라홈, 초록맘생활연구소, 가죽공방 레더레스트"
서울특별시,종로구,삼청동,맛집,"봉탁항아리바비큐 불쭈꾸미 삼청동 본점, 부띠끄경성, 삼청동수제비, 황생가칼국수, 북촌도담, 오레노라멘 인사점, 삼청빙수, 도트블랭킷 안국점"
서울특별시,종로구,삼청동,카페,"카페 수달, 삼청빙수, 티테라피, 블루보틀 삼청 카페, 가배도 삼청, 카페 수달, 차마시는뜰, 서울서둘째로잘하는집"
서울특별시,종로구,삼청동,아이와함께,"서울공예박물관, 서울교육박물관, 북촌동양문화박물관, 한국사찰음식문화체험관, 북촌생활사박물관, 아띠인력거"
서울특별시,종로구,부암동,여행지,"백사실계곡, 홍지문 및 탕춘대성, 북악산, 석파정, 세검정, 북악산길산책로"
서울특별시,종로구,부암동,볼거리/놀거리/명소,"석파정 서울미술관, 환기미술관, 자하미술관, 상명아트센터 계당홀, 쌀롱드무지끄, 상명아트센터 대신홀"
서울특별시,종로구,부암동,취미생활,"수잔하우스, 가회민화박물관, 동림매듭공방, 로라홈, 초록맘생활연구소, 수수"
서울특별시,종로구,부암동,맛집,"고블린 피자, 더 토트, 계열사, 자하손만두, 맘스키친, 부빙, 부암동스코프, 산모퉁이"
서울특별시,종로구,부암동,카페,"라프라, 더 토트, 부빙, 부암동스코프, 산모퉁이, 클럽에스프레소, 몽핀, 부암동와플"
서울특별시,종로구,부암동,아이와함께,"목인박물관 목석원, 김달진미술자료박물관, 유금와당박물관, 쉼박물관, 마그마숲, 서울공예박물관"
서울특별시,종로구,평창동,여행지,"북악스카이웨이, 금선사 템플스테이, 북악팔각정, 대남문, 북한산둘레길6구간(평창마을길), 탕춘대성"
서울특별시,종로구,평창동,볼거리/놀거리/명소,"북악팔각정, 금선사 템플스테이, 북악스카이웨이, 대남문, 화정박물관, 가나아트센터"
서울특별시,종로구,평창동,취미생활,"수수, 수잔하우스"
서울특별시,종로구,평창동,맛집,"대평갈비, 락궁, 절벽, 더 피아노, 대평갈비, 토속칼국수, 평창동북악정 본관, 더코너키친"
서울특별시,종로구,평창동,카페,"더 피아노, GROUND62, 비르투앤포르투나, 앤팩토리, 키미아트, 에크루"
서울특별시,종로구,평창동,아이와함께,"화정박물관, 삼성출판박물관, 상명대학교 박물관, 영인문학관, 윤동주문학관, 한국가구박물관"
서울특별시,종로구,무악동,여행지,"인왕산, 선바위, 인왕산국사당, 무악공원, 종로구도시텃밭, 국사당"
서울특별시,종로구,무악동,볼거리/놀거리/명소,"인왕산, 선바위, 국사당, 오도르가죽공방, 인왕사, 소보로식당"
서울특별시,종로구,무악동,취미생활,"로라홈, 초록맘생활연구소, 커스텀테라피"
서울특별시,종로구,무악동,맛집,"소보로식당, 옛날순대, 돈박, 짱구떡볶이, 연희김밥 독립문점, 참나라"
서울특별시,종로구,무악동,카페,"우주라이크커피 독립문역점, 로제타, 이디야 독립문역점, 카페 오베르, 베이커리 립, 컴포즈커피 독립문롯데캐슬점"
서울특별시,종로구,무악동,아이와함께,"무악어린이공원, 서대문형무소역사관, 서울역사박물관, 경찰박물관, 국립기상박물관, 농업박물관"
서울특별시,종로구,교남동,여행지,"딜쿠샤, 경교장, 홍난파가옥, 월암근린공원, 돈의문터, 권율장군집터"
서울특별시,종로구,교남동,볼거리/놀거리/명소,"딜쿠샤, 경찰박물관, 국립기상박물관, 경교장, 쁘띠몽드 경희궁자이점, 떼아트 갤러리"
서울특별시,종로구,교남동,취미생활,"스카팩토리, 초록맘생활연구소, 취미상점"
서울특별시,종로구,교남동,맛집,"독립밀방, 대성집, 독립밀방, 교남김밥, 합심, 스시쿠니, 메이탄 종로점, 고스마"
서울특별시,종로구,교남동,카페,"합심, 로코페페, 한스 경희궁자이점, 오니로커피, 한나식빵 서대문역점, 스코니"
서울특별시,종로구,교남동,아이와함께,"경찰박물관, 국립기상박물관, 쁘띠몽드 경희궁자이점, 서대문형무소역사관, 서울역사박물관, 국립고궁박물관"
서울특별시,종로구,가회동,여행지,"북촌 한옥마을, 백인제가옥, 북촌8경, 현대원서공원, 북촌한옥청, 계동배렴가옥"
서울특별시,종로구,가회동,볼거리/놀거리/명소,"아라리오갤러리 서울, 북촌 한옥마을, 한지문화산업센터, 현대카드 디자인 라이브러리, 아라리오뮤지엄 인 스페이스, 원앤제이 갤러리"
서울특별시,종로구,가회동,취미생활,"가회민화박물관, 동림매듭공방, 꽃자리자수공방"
서울특별시,종로구,가회동,맛집,"대림국수 안국점, 마산해물아구찜, 진작카키, 깡통만두, 다운타우너 안국, 도토리가든, 프릳츠 원서점, 노티드 안국"
서울특별시,종로구,가회동,카페,"도토리가든, 도토리가든, 프릳츠 원서점, 노티드 안국, 런던 베이글 뮤지엄 안국점, 카페 레이어드 안국점, 어니언 안국, 땡스오트 안국"
서울특별시,종로구,가회동,아이와함께,"식품명인체험홍보관, 락고재 컬쳐 라운지 애가헌, 북촌박물관, 가회민화박물관, 동림매듭공방, 대한민국역사박물관"
서울특별시,종로구,종로1234가동,여행지,"창덕궁, 창경궁, 쌈지길, 종묘, 운현궁, 인사동문화의거리"
서울특별시,종로구,종로1234가동,볼거리/놀거리/명소,"창경궁, 창덕궁, 쌈지길, 종묘, 국립어린이과학관, 떡박물관"
서울특별시,종로구,종로1234가동,취미생활,"일성레이저, 꽃자리자수공방, 가회민화박물관, 동림매듭공방, 예술가의 집, 문화공작소"
서울특별시,종로구,종로1234가동,맛집,"오마카세 오사이초밥 광화문점, 익선디미방, 광화문미진, 간판없는가게, 닥터로빈 광화문점, 익선정육"
서울특별시,종로구,종로1234가동,카페,"청수당, 포비 광화문, 식물, 카페하이웨스트 익선점, 익선주택, 사월의물고기"
서울특별시,종로구,종로1234가동,아이와함께,"국립어린이과학관, 떡박물관, 아름다운차박물관, 뮤지엄김치간, 서울우리소리박물관, 쌈지길체험공방"
서울특별시,종로구,종로56가동,여행지,"흥인지문공원, 흥인지문, 동대문닭한마리골목, 동대문생선구이골목, 종로5가곱창골목, 전태일동상"
서울특별시,종로구,종로56가동,볼거리/놀거리/명소,"동대문종합시장, 한양도성박물관, 흥인지문공원, 동대문시장, 동대문닭한마리골목, 두산아트센터"
서울특별시,종로구,종로56가동,취미생활,"그린아울, 예술가의 집, 일성레이저, 헤이온데이, 미스티코, 꽃자리자수공방"
서울특별시,종로구,종로56가동,맛집,"진옥화할매원조닭한마리, 박가네 빈대떡, 원조순희네빈대떡, 어니언 광장시장, 제이히든하우스, 명동닭한마리 본점"
서울특별시,종로구,종로56가동,카페,"어니언 광장시장, 제이히든하우스, 아마츄어작업실 광장시장점, 교호커피, 파크닉, 스페이스 코르"
서울특별시,종로구,종로56가동,아이와함께,"한양도성박물관, 국립어린이과학관, 떡박물관, 디키디키, 릴리펏 현대시티아울렛동대문점, 종이나라박물관"
서울특별시,종로구,이화동,여행지,"낙산공원, 이화마을, 마로니에공원, 대학로, 이화장, 귀신의집"
서울특별시,종로구,이화동,볼거리/놀거리/명소,"낙산공원, 대학로티오엠, 예스24스테이지, 유니플렉스, 비밀의화원 대학로점, 라온아트홀 / 연극 한뼘사이"
서울특별시,종로구,이화동,취미생활,"예술가의 집, 헤이온데이, 1막1장, 일성레이저, 미스티코, 대성무역"
서울특별시,종로구,이화동,맛집,"동숭동그릴, 리버티 힐스테이크 하우스, 핏제리아오 대학로 본점, 순대실록 대학로본점, 촌놈, 코야코, 오마카세 오사이초밥 대학로점, 우와 대학로점"
서울특별시,종로구,이화동,카페,"노알커피, 굽기, 솔트24, 더파크츄러스, 두채, 굽기, 타셴, 라뚜셩트"
서울특별시,종로구,이화동,아이와함께,"서울대학교 간호대학 간호학 박물관, 국립어린이과학관, 디키디키, 릴리펏 현대시티아울렛동대문점, 한양도성박물관, 이음피움 봉제역사관"
