,0
0,10새끼
1,10쎄끼
2,10알
3,10창
4,10탱
5,10탱아
6,10팔
7,10팔년
8,10팔놈
9,10팔연
10,10할년
11,10할연
12,18넘
13,18년
14,18놈
15,18눔
16,18늠
17,18세끼
18,18쉑끼
19,18쎄리
20,18쒜리
21,18쒝끼
22,18씨끼
23,2c8
24,2c팔
25,ac발
26,x대가리
27,ㄲㅏ
28,ㄲㅑ
29,ㄲㅣ
30,ㅅㅂㄹㅁ
31,ㅅㅐ
32,ㅆ1발
33,ㅆㅂㄹㅁ
34,ㅆㅍ
35,ㅆㅣ
36,ㅆ앙
37,ㅍㅏ
38,凸
39,가오
40,가오마담
41,갈보
42,갈보년
43,갈토
44,강간
45,강아지
46,강아지같은사람아
47,같은년 
48,같은뇬
49,개?q
50,개간년 개같은 여자의 약자
51,개같은
52,개같은년
53,개구라
54,개나리
55,개나리
56,개넘
57,개년
58,개놈
59,개뇬
60,개뇬
61,개눔
62,개늠
63,개대중
64,개독
65,개돼중
66,개돼지
67,개돼지 해당 항목 참조.
68,개때꺄
69,개때끼
70,개또라이
71,개똥
72,개랄
73,개보지
74,개보지
75,개부랄
76,개부럴
77,개불알
78,개뻥
79,개뿔
80,개새
81,개새
82,개새
83,개새기
84,개새꺄
85,개새끼
86,개새리
87,개새야
88,개새키
89,개색
90,개색기
91,개색기
92,개색꺄
93,개색끼
94,개색끼
95,개색키
96,개색히
97,개색히
98,개샥
99,개섀끼
100,개세
101,개세
102,개세끼
103,개세끼
104,개세이
105,개세이
106,개섹
107,개섺
108,개셃
109,개셋키
110,개셐
111,개소리
112,개소리
113,개소리
114,개소리
115,개쇄끼
116,개쇅
117,개쇅갸
118,개쇅기
119,개쇅꺄
120,개쇅끼
121,개쇅캬
122,개쇅키
123,개쇗
124,개쇗기
125,개쇠리
126,개쇳기
127,개수작
128,개쉐
129,개쉐
130,개쉐끼
131,개쉐리
132,개쉐리
133,개쉐이
134,개쉐이
135,개쉑
136,개쉑
137,개쉑갸
138,개쉑기
139,개쉑꺄
140,개쉑끼
141,개쉑이
142,개쉑캬
143,개쉑키
144,개쉑히
145,개쉢
146,개쉨
147,개쉬끼
148,개쉽
149,개스끼
150,개싀끼
151,개싘
152,개시발 좆같은 새끼야
153,개시퀴
154,개시키
155,개시키
156,개십새기
157,개십새끼
158,개십팔
159,개싯끼
160,개싯키
161,개싴
162,개쌍넘
163,개쌍년
164,개쌍놈
165,개쌔
166,개쌔꺄
167,개쌔끼
168,개쌕
169,개쌕끼
170,개썅넘
171,개썅년
172,개썅놈
173,개썅늠
174,개썅연
175,개쎅
176,개쐐리
177,개쑈
178,개쒜
179,개쒜끼
180,개쒜리
181,개쒝
182,개쒝갸
183,개쒝기
184,개쒝꺄
185,개쒝끼
186,개쒝키
187,개쒯
188,개쒸
189,개쒹기
190,개쓰레기
191,개쓰레기
192,개씌끼
193,개씨끼
194,개씨발
195,개씨발
196,개씨발(개씹할)
197,개씨팕
198,개씹
199,개씹
200,개씹
201,개씹창
202,개씹팔
203,개아들
204,개자슥
205,개자슥
206,개자싁
207,개자식
208,개자지
209,개자지
210,개접
211,개젓
212,개젖
213,개졋
214,개졎
215,개조또
216,개조옷
217,개족
218,개족새 개 좆같은 새끼의 줄임말
219,개좆
220,개좆
221,개좆
222,개좆같은년
223,개좌식
224,개지랄
225,개차반
226,개차반 개가 먹는 음식인 똥이라는 뜻으로 언행이 몹시 더러운 사람을 속되게 이르는 말. 다만 요즘은 욕설보다는 어감 때문에 쓰이는 편. '씨발' 도 그렇다지만 한국인들한테 씨발이 무슨 뜻이냐고 물으면 다들 대답하는데 이 개차반이란 말은 무슨 뜻이냐고 물으면 대답할 수 있는 사람이 거의 없을 것이다.
227,개판
228,개허접
229,개후레
230,개후장
231,걔?y
232,걔새
233,걔수작
234,걔시끼
235,걔시키
236,거렁뱅이 거지
237,거시기
238,거짓부렁
239,거짓부렁이
240,거짓부리
241,거짓불
242,걸레
243,걸레
244,걸레
